Job Title,Company,Salary,Experience,Location,Skills,Source
".NET Developer (C#, ASP.NET,...)(strong English)",Wilmar CLV (Cambodia Laos Vietnam),Thỏa thuận,N/A,Ho Chi Minh,".NET, API, SQL, MVC, ASP.NET, C#",ITViec
Technical Project Manager (English),Terralogic,Thỏa thuận,N/A,Ho Chi Minh,"Team Management, Stakeholder management, Product Management",ITViec
Senior Backend Engineer (Nodejs),FireGroup,Thỏa thuận,N/A,Ho Chi Minh,"NodeJS, Redis, MongoDB, PostgreSql, MySQL, OOP",ITViec
Senior Golang Developer,CÔNG TY TNHH FINAN,Thỏa thuận,N/A,Ho Chi Minh,"Golang, Redis, PostgreSql, Microservices, Kubernetes",ITViec
Senior QA/QC Engineer,CÔNG TY TNHH FINAN,Thỏa thuận,N/A,Ho Chi Minh,"QA QC, Selenium, Python, Java, Postman",ITViec
Data Engineer (Middle),CÔNG TY TNHH FINAN,Thỏa thuận,N/A,Ho Chi Minh,"Python, MongoDB, PostgreSql, AI, SQL",ITViec
Senior Java AI Backend Engineer (English),HRS Group,Thỏa thuận,N/A,Ho Chi Minh,"Java, English, AWS, Python, AI",ITViec
"(Senior) Mobile Developer (iOS, Android)",GFT Technologies Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"iOS, Java, Swift, Kotlin, Android, English",ITViec
Technical Lead (Go/Java/Kotlin/TypeScript/Python),"MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,N/A,Ho Chi Minh,"Golang, Python, TypeScript, Kotlin, Java",ITViec
"Software Engineer II (C#, dotnet,Java)",Motorola Solutions,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Project Manager,MOR,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Frontend Engineer,Vulcan Labs,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Senior iOS Engineer (Swift, MVVM, MVC)",EPAM Vietnam,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Senior Java Engineer (Spring Boot, Microservices, SQL)",EPAM Vietnam,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
[HCM] Salesforce Developer (All level) | Up to 55M VND,Hybrid Technologies,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Mobile App Developer (.NET, Xamarin, iOS/Android, AI)",Song Technologies LLC,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Technical Architect,HSC,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Manual QA Engineer/Tester (QA QC, English, Insurance)",FWD VTC,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Software Project Manager – Japanese OR Chinese Speaking,Bosch Global Software Technologies Company Limited,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"R&D System Engineer (VMware, Docker, Kubernetes)",GLOBALTECH,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
